# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
301e	Nintendo GameCube Service Disc Version 1.0-03 (USA)
bbbmpgcrjjpn	Xeno Crisis (Japan) (En,Ja,Fr,De,Es,It,Nl,Pt)
bbbmpgcrpeur	Xeno Crisis (Europe) (En,Ja,Fr,De,Es,It,Nl,Pt)
d23j	Game Taikai Yuushou Kinen - Tokusei SmaBro DX Movie Disc (Japan)
d24j	SmaBro DX Event-you Disc (Japan)
d29j	Gekkan Nintendo Tentou Demo 2002.5.1 (Japan)
d32j	Gekkan Nintendo Tentou Demo 2002.6.1 (Japan)
d33j	Gekkan Nintendo Tentou Demo 2002.7.1 (Japan)
d34j	Gekkan Nintendo Tentou Demo 2002.7.10 Zoukangou (Japan)
d37j	Gekkan Nintendo Tentou Demo 2002.8.1 (Japan)
d38j	Gekkan Nintendo Tentou Demo 2002.9.1 (Japan)
d39j	Gekkan Nintendo Tentou Demo 2002.10.1 (Japan)
d42j	Gekkan Nintendo Tentou Demo 2002.11.1 (Japan) (Disc A)
d43e	Legend of Zelda, The - Ocarina of Time & Master Quest (USA, Canada)
d43j	Zelda no Densetsu - Toki no Ocarina GC (Japan)
d43p	Legend of Zelda, The - Ocarina of Time & Master Quest (Europe) (En,Fr,De)
d43u	Legend of Zelda, The - Ocarina of Time & Master Quest (Australia) (En,Fr,De)
d43w	Legend of Zelda, The - Ocarina of Time & Master Quest (Korea)
d44j	Gekkan Nintendo Tentou Demo 2002.12.1 (Japan)
d46j	Gekkan Nintendo Tentou Demo 2003.1.1 (Japan) (Disc A)
d47j	Gekkan Nintendo Tentou Demo 2003.2.1 (Japan)
d48j	Gekkan Nintendo Tentou Demo 2003.3.1 (Japan)
d49j	Gekkan Nintendo Tentou Demo 2003.4.1 (Japan)
d4bd	Resident Evil 4 (Germany) (En,Fr,De,Es,It) (Bonus Disc)
d4be	Resident Evil 4 (USA) (Preview Disc)
d4bp	Resident Evil 4 (Europe) (En,Fr,De,Es,It) (Bonus Disc)
d4bu	Resident Evil 4 (Australia) (En,Fr,De,Es,It) (Bonus Disc)
