# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
aicd0001	Mateki Densetsu Astralius (Japan)
aicd1002	IQ Panic (Japan)
atcd1002	Jantei Monogatari 2 - Uchuu Tantei Diban - Shutsudou-hen (Japan)
atcd2003	Quiz Marugoto the World 2 - Time Machine ni Onegai! (Japan)
atcd2004	Jantei Monogatari 2 - Uchuu Tantei Diban - Kanketsu-hen (Japan)
atcd3005	Jantei Monogatari 3 - Saver Angels (Japan)
cjcd4004	Pachio-kun 3 - Pachi-Slot & Pachinko (Japan)
cjcd4005	Sotsugyou Shashin - Miki (Japan)
ged1010	CD Mahjong - Bishoujo Chuushinha (Japan)
ged1011	Hi-Leg Fantasy (Japan)
ged1012	CD Pachi-Slot - Bishoujo Gambler (Japan)
ged1013	CD Hanafuda - Bishoujo Fan Club (Japan)
ged1014	CD Bishoujo Pachinko - Kyuuma Yon Shimai (Japan)
ged1015	AV Tanjou (Japan) (Alt 2)
ged1016	Bishoujo Janshi Idol Pai (Japan)
hacd0003	Super Darius (Japan) (Alt)
hcd3046	Far East of Eden - Tengai Makyou - Fuun Kabuki-den (Japan)
hcd3049	CD Denjin - Rockabilly Tengoku (Japan)
hcd5075	Ginga Ojousama Densetsu Yuna 2 - Eien no Princess (Japan) (FAAT)
hecd2001	Metamor Jupiter (Japan)
hecd3002	Magicoal (Japan)
hmcd0001	Vasteel (Japan)
hmcd2002	Human Sports Festival (Japan)
hmcd2003	Farjius no Jakoutei - Neo Metal Fantasy (Japan)
hmcd2004	Uchuu Senkan Yamato (Japan)
hmcd2005	Laplace no Ma (Japan)
hmcd4008	Wrestling Universe - Fire Pro Joshi - Dome Choujo Taisen - Zenjo vs. JWP (Japan)
hmd0002	Duo Comic - Bakuretsu Hunter (Japan)
hrcd9101	ROM^2 Karaoke Volume 1 (Japan)
hrcd9102	ROM^2 Karaoke Volume 2 (Japan)
hrcd9103	ROM^2 Karaoke Volume 3 (Japan)
hrcd9104	ROM^2 Karaoke Volume 4 (Japan)
hrcd9105	ROM^2 Karaoke Volume 5 (Japan)
iccd1001	R-Type Complete CD (Japan)
iccd2002	ImageFight II - Operation Deepstriker (Japan)
iccd3003	Eiyuu Sangokushi (Japan)
igcd3005	Galaxy Deka Gayvan (Japan)
igcd3007	Kakutou Haou Densetsu - Algunos (Japan)
kicd3001	CD Battle - Hikari no Yuushatachi (Japan)
mccd0001	Super Daisenryaku (Japan)
mccd3004	Mystic Formula (Japan)
name1552tenkatairan	1552 Tenka Tairan (Japan)
name3x3eyessanjiyanhenjou	3x3 Eyes - Sanjiyan Henjou (Japan)
nameaddamsfamilythe	Addams Family, The (USA)
nameadvancedvg	Advanced V.G. (Japan)
nameadventurequizcapcomworldhatenanodaibouken	Adventure Quiz - Capcom World + Hatena no Daibouken (Japan)
nameaichouaniki	Ai Chou Aniki (Japan) (SADS, SAES)
nameaiiiaresshadeikouiii	A.III. - A Ressha de Ikou III (Japan)
nameakiyamajinnosuugakumysteryhihouindianohonoooshishuseyo	Akiyama Jin no Suugaku Mystery - Hihou India no Honoo o Shishu Seyo! (Japan)
nameakumajoudraculaxchinorondo	Akumajou Dracula X - Chi no Rondo (Japan)
namealnamnokibajuuzokujuunishintodensetsu	Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT)
namealshark	Alshark (Japan)
nameanesan	Ane-san (Japan)
nameaokiookamitoshirokimejikagenchouhishi	Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)
nameasuka120maximaburningfestmaxima	Asuka 120% Maxima - Burning Fest. Maxima (Japan)
nameatlastherenaissancevoyager	Atlas, The - Renaissance Voyager (Japan)
nameauroraquestotakunoseizainanotherworld	Aurora Quest - Otaku no Seiza in Another World (Japan)
nameavenger	Avenger (Japan)
nameavtanjou	AV Tanjou (Japan) (Alt 2)
namebabel	Babel (Japan)
namebabyjothesuperhero	Baby Jo - The Super Hero (Japan)
namebakudenunbalancezone	Bakuden - Unbalance Zone (Japan)
namebakushouyoshimotoshinkigeki	Bakushou Yoshimoto Shinkigeki (Japan) (FABT)
namebasted	Basted (Japan)
namebattleshanghaidragonseye	Battle Shanghai - Dragon's Eye (Japan)
namebazardegozarrenogamedegozarre	Bazar de Gozarre no Game de Gozarre (Japan)
namebeyondshadowgate	Beyond Shadowgate (USA)
namebikkurimandaijikai	Bikkuriman Daijikai (Japan)
namebishoujojanshiidolpai	Bishoujo Janshi Idol Pai (Japan)
namebishoujosenshisailormoon	Bishoujo Senshi Sailor Moon (Japan)
namebishoujosenshisailormooncollection	Bishoujo Senshi Sailor Moon Collection (Japan)
nameblackholeassault	Black Hole Assault (Japan)
namebloodgear	Blood Gear (Japan)
namebombermanpanicbomber	Bomberman - Panic Bomber (Japan) (FABT)
namebonanzabros	Bonanza Bros. (Japan)
namebonkiiibonksbigadventure	Bonk III - Bonk's Big Adventure (USA)
namebrandish	Brandish (Japan)
namebrowning	Browning (Japan)
namebuilderlandthestoryofmelba	BuilderLand - The Story of Melba (Japan)
nameburaiiiyamikouteinogyakushuu	Burai II - Yami Koutei no Gyakushuu (Japan)
nameburaiyatsudamanoyuushidensetsu	Burai - Yatsudama no Yuushi Densetsu (Japan)
namebusterbros	Buster Bros. (USA)
namecalii	CAL II (Japan) (Alt)
namecaliiikanketsuhen	CAL III - Kanketsu-hen (Japan)
namecampcalifornia	Camp California (USA)
namecardangels	Cardangels (Japan)
namecdbattlehikarinoyuushatachi	CD Battle - Hikari no Yuushatachi (Japan)
namecdbishoujopachinkokyuumayonshimai	CD Bishoujo Pachinko - Kyuuma Yon Shimai (Japan)
namecddenjinrockabillytengoku	CD Denjin - Rockabilly Tengoku (Japan)
namecdhanafudabishoujofanclub	CD Hanafuda - Bishoujo Fan Club (Japan)
namecdmahjongbishoujochuushinha	CD Mahjong - Bishoujo Chuushinha (Japan)
namecdpachislotbishoujogambler	CD Pachi-Slot - Bishoujo Gambler (Japan)
namechikichikiboys	Chiki Chiki Boys (Japan)
namechouaniki	Chou Aniki (Japan) (FAAT, FACT)
namechoueiyuudensetsudynastichero	Chou Eiyuu Densetsu - Dynastic Hero (Japan)
namechoujikuuyousaimacross2036	Chou Jikuu Yousai Macross 2036 (Japan)
namechoujikuuyousaimacrosseiennolovesong	Chou Jikuu Yousai Macross - Eien no Love Song (Japan)
namecolorwars	Color Wars (Japan)
namecosmicfantasy2	Cosmic Fantasy 2 (USA)
namecosmicfantasy2boukenshounenban	Cosmic Fantasy 2 - Bouken Shounen Ban (Japan)
namecosmicfantasy3boukenshounenrei	Cosmic Fantasy 3 - Bouken Shounen Rei (Japan)
namecosmicfantasy4gingashounendensetsugekitouhen	Cosmic Fantasy 4 - Ginga Shounen Densetsu - Gekitou-hen (Japan)
namecosmicfantasy4gingashounendensetsutotsunyuuhen	Cosmic Fantasy 4 - Ginga Shounen Densetsu - Totsunyuu-hen (Japan)
namecosmicfantasyboukenshounenyuu	Cosmic Fantasy - Bouken Shounen Yuu (Japan) (Alt 1)
namecybercityoedo808kemononoalignment	Cyber City Oedo 808 - Kemono no Alignment (Japan)
namedaisenpuucustom	Daisenpuu Custom (Japan)
namedaisenryakuiicampaignversion	Daisenryaku II - Campaign Version (Japan)
namedaviscuptennisthe	Davis Cup Tennis, The (Japan)
namedeadofthebrain12	Dead of the Brain 1&2 (Japan)
namedeathbringertheknightofdarkness	Death Bringer - The Knight of Darkness (Japan)
namedeja	De-Ja (Japan)
namedekobokodensetsuhashiruwagamanmaa	Dekoboko Densetsu - Hashiru Wagamanmaa (Japan)
namedennoutenshidigitalange	Dennou Tenshi - Digital Ange (Japan)
namedevelomagazinevol1	Develo Magazine Vol. 1 (Japan)
namedevelostarterkitassemblerhen	Develo - Starter Kit - Assembler-hen (Japan)
namedevelostarterkitbasichen	Develo - Starter Kit - BASIC-hen (Japan)
namedoraemonnobitanodorabiannight	Doraemon - Nobita no Dorabian Night (Japan)
namedoubledragoniitherevenge	Double Dragon II - The Revenge (Japan)
namedoukyuusei	Doukyuusei (Japan) (Rev 3) (Alt 2)
namedownload2	Down Load 2 (Japan)
namedowntownnekketsukoushinkyokusoreyukedaiundoukai	Downtown Nekketsu Koushinkyoku - Soreyuke Daiundoukai (Japan)
namedowntownnekketsumonogatari	Downtown Nekketsu Monogatari (Japan)
namedragonballzidainarusongokuudensetsu	Dragon Ball Z - Idainaru Son Gokuu Densetsu (Japan) (FABT)
namedragonhalf	Dragon Half (Japan)
namedragonknightgraffiti	Dragon Knight & Graffiti (Japan)
namedragonknightii	Dragon Knight II (Japan)
namedragonknightiii	Dragon Knight III (Japan)
namedragonslayerthelegendofheroes	Dragon Slayer - The Legend of Heroes (Japan)
namedragonslayerthelegendofheroesii	Dragon Slayer - The Legend of Heroes II (Japan)
namedungeonexplorerii	Dungeon Explorer II (Japan)
namedungeonmastertheronsquest	Dungeon Master - Theron's Quest (Japan)
nameduocomicbakuretsuhunter	Duo Comic - Bakuretsu Hunter (Japan)
namedynasticherothe	Dynastic Hero, The (USA)
nameeferajilioratheemblemfromdarkness	Efera & Jiliora - The Emblem from Darkness (Japan)
nameeikanwakiminikoukouyakyuuzenkokutaikai	Eikan wa Kimi ni - Koukou Yakyuu Zenkoku Taikai (Japan)
nameeiyuusangokushi	Eiyuu Sangokushi (Japan)
nameemeralddragon	Emerald Dragon (Japan)
nameexile	Exile (USA)
nameexileiijanennojishou	Exile II - Janen no Jishou (Japan)
nameexiletokinohasamae	Exile - Toki no Hasama e (Japan)
nameexilewickedphenomenon	Exile - Wicked Phenomenon (USA)
namef1circusspecialpoletowin	F1 Circus Special - Pole to Win (Japan) (FABT)
namef1teamsimulationprojectf	F1 Team Simulation - Project F (Japan)
namefaceball	Faceball (Japan)
namefaerieduststorymeikyuunoelfeene	Faerie Dust Story - Meikyuu no Elfeene (Japan)
namefantasticnightdreamscotton	Fantastic Night Dreams - Cotton (Japan) (En,Ja,Zh)
namefareastofedentengaimakyoufuunkabukiden	Far East of Eden - Tengai Makyou - Fuun Kabuki-den (Japan)
namefareastofedentengaimakyouiimanjimaru	Far East of Eden - Tengai Makyou II - Manji Maru (Japan)
namefareastofedentengaimakyouziria	Far East of Eden - Tengai Makyou - Ziria (Japan) (Hibaihin)
namefarjiusnojakouteineometalfantasy	Farjius no Jakoutei - Neo Metal Fantasy (Japan)
namefausseteamour	Faussete Amour (Japan)
namefiendhunter	Fiend Hunter (Japan)
namefightingstreet	Fighting Street (Japan) (Rev 4)
namefinalzoneii	Final Zone II (Japan)
nameflashhiders	Flash Hiders (Japan)
nameforgottenworlds	Forgotten Worlds (Japan)
nameformationsoccer95dellaseriea	Formation Soccer 95 della Serie A (Japan)
namefushiginouminonadiathesecretofbluewater	Fushigi no Umi no Nadia - The Secret of Blue Water (Japan)
namegaingroundsx	Gain Ground SX (Japan)
namegalaxydekagayvan	Galaxy Deka Gayvan (Japan)
namegaroudensetsu2aratanarutatakai	Garou Densetsu 2 - Aratanaru Tatakai (Japan) (FABT, FACT, FAET, FAFT)
namegaroudensetsuspecial	Garou Densetsu Special (Japan) (FABT)
namegateofthunder	Gate of Thunder (Japan) (FACT, FADT)
namegateofthunderbonksadventurebonksrevenge	Gate of Thunder + Bonk's Adventure + Bonk's Revenge (USA)
namegenocide	Genocide (Japan)
namegensoutairikuauleria	Gensou Tairiku Auleria (Japan)
namegingafukeidensetsusapphire	Ginga Fukei Densetsu Sapphire (Japan)
namegingaojousamadensetsuyuna	Ginga Ojousama Densetsu Yuna (Japan) (FAAT, FABT, FACT)
namegingaojousamadensetsuyuna2eiennoprincess	Ginga Ojousama Densetsu Yuna 2 - Eien no Princess (Japan) (FAAT)
namegingaojousamadensetsuyunahuvideocd	Ginga Ojousama Densetsu Yuna HuVIDEO CD (Japan)
namegodpanicshijousaikyounogundan	God Panic - Shijou Saikyou no Gundan (Japan)
namegodzilla	Godzilla (USA)
namegodzillabakutouretsuden	Godzilla Bakutou Retsuden (Japan)
namegoetzendiener	Goetzendiener (Japan)
namegogobirdiechance	Go! Go! Birdie Chance (Japan)
namegoldenaxe	Golden Axe (Japan) (Alt)
namegradiusiigofernoyabou	Gradius II - Gofer no Yabou (Japan)
namegs	GS (Ghost Sweeper) Mikami (Japan)
namegulclighttdf2	Gulclight TDF 2 (Japan)
namegyuwamblerjikochuushinhagekitou36janshi	Gyuwambler Jiko Chuushinha - Gekitou 36 Janshi (Japan) (Alt)
namegyuwamblerjikochuushinhamahjongpuzzlecollection	Gyuwambler Jiko Chuushinha - Mahjong Puzzle Collection (Japan)
namehatarakushoujotekipakiworkinglove	Hataraku Shoujo - Tekipaki Working Love (Japan)
namehatsukoimonogatari	Hatsukoi Monogatari (Japan) (Rev 1)
namehawkf123	Hawk F-123 (Japan)
namehellfirestheanotherstory	Hellfire S - The Another Story (Japan)
namehighgrenadier	High Grenadier (Japan)
namehihoudensetsuchrisnobouken	Hihou Densetsu - Chris no Bouken (Japan)
namehilegfantasy	Hi-Leg Fantasy (Japan)
namehimitsunohanazono	Himitsu no Hanazono (Japan)
namehorrorstory	Horror Story (Japan)
namehumansportsfestival	Human Sports Festival (Japan)
namehupgatourpowergolf2golfer	Hu PGA Tour - PowerGolf 2 - Golfer (Japan)
namehyakumonogatarihontoniattakowaihanashi	Hyaku Monogatari - Honto ni Atta Kowai Hanashi (Japan)
namehyperdynesidearmsspecial	Hyper Dyne - SideArms Special (Japan) (Alt)
namehypernovablast	Hypernova Blast (USA)
namehyperwars	Hyper Wars (Japan) (SABS)
nameiganindengaiou	Iga Ninden Gaiou (Japan)
nameimagefightiioperationdeepstriker	ImageFight II - Operation Deepstriker (Japan)
nameimplode	Implode (USA)
nameinmagicaladventurefraycdxakgaiden	In Magical Adventure - Fray CD - Xak Gaiden (Japan)
