# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
dk10794	Classic Card Games (Russia)
dtls2170	PlayStation Programmer Tool - Runtime Library Version 2.6 (Japan) (En,Ja)
dtls2180	PlayStation Programmer Tool - Runtime Library Version 3.0 (Japan) (En,Ja)
dtls2190	PlayStation Programmer Tool - Runtime Library Version 3.3 (Japan) (En,Ja)
dtls3030	Net Yarou ze Kidou Disc - Version 1.0 (Japan)
dtls3035	Net Yaroze Boot Disc (USA, Europe)
espm70001	Iceman - Digital PlayStage (Japan)
espm70002	Robots - Video Alchemy (Japan)
espm70003	Puffy no P.S. I Love You (Japan)
ger0	All Star Action (Europe) (Disc 1)
ger1	All Star Action (Europe) (Disc 2)
gerp	Stuart Little 2 (Germany)
krtsps01	Karat PS PS2-you Pro Action Replay CDX2 Sampler (Japan)
lsp0101500	Liquid Books Adventure 1 - Lety's Favorite Stories (USA)
lsp0101600	Mars Moose Stay and Play 1 - In the Clubhouse (USA)
lsp010170	Mars Moose Cosmic Quest 1 - City Sights (USA)
lsp01017001	Mars Moose Cosmic Quest 1 - City Sights (USA)
lsp0101800	Mars Moose Adventure - WalkAbout 1 - The Natural History Museum (USA)
lsp0102500	Liquid Books Adventure 2 - Amrita's Trees & Cerdito and the Coyote (USA)
lsp010260	Mars Moose Stay and Play 2 - In Mars' Bedroom (USA)
lsp01026001	Mars Moose Stay and Play 2 - In Mars' Bedroom (USA)
lsp0102700	Mars Moose Cosmic Quest 2 - Fairy Tale Island (USA)
lsp0102800	Mars Moose Adventure - WalkAbout 2 - The Shakespeare Festival (USA)
lsp0103500	Liquid Books Adventure 3 - Far-Fetched Frontier Tales (USA)
lsp0103550	Liquid Books Adventure 4 - The Adventures of Adelita and Bo (USA)
lsp0103600	Mars Moose Stay and Play 3 - In Lonnie's Classroom (USA)
lsp0103700	Mars Moose Cosmic Quest 3 - Race Through France (USA)
lsp010380	Mars Moose Adventure - WalkAbout 3 - World Sports Day (USA)
lsp01038001	Mars Moose Adventure - WalkAbout 3 - World Sports Day (USA)
lsp0201500	Secret of Googol 1b, The - Reshaping Googol - The Tower (USA)
lsp0201600	Secret of Googol 1a, The - Reshaping Googol - The Submarine (USA)
