# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
anzp	50 Cent - Bulletproof (Australia)
dvd005	Play TV 96 (UK)
dvd006	Play TV 97 (UK)
dvd007	Play TV 98 (UK)
gerp	Tekken 4 (Europe, Australia) (En,Fr,De,Es,It) (v2.00)
glddr01	Sony DVD Test Disc (World)
jkl25	AR3 V1.1 (China)
krt005	Karat PS2-you Pro Action Replay PS2-you PAR (Japan) (v1.7)
ldtl00003	Linux (for PlayStation 2) Release 1.0 (USA) (Disc 1) (Runtime Environment)
ldtl000030	Linux (for PlayStation 2) Release 1.0 (USA) (Disc 1) (Runtime Environment)
ldtl000031	Linux (for PlayStation 2) Release 1.0 (USA) (Disc 2) (Software Packages)
ldtl00004	Linux (for PlayStation 2) Release 1.0 (Europe) (Disc 1) (Runtime Environment)
ldtl000040	Linux (for PlayStation 2) Release 1.0 (Europe) (Disc 1) (Runtime Environment)
ldtl000041	Linux (for PlayStation 2) Release 1.0 (Europe) (Disc 2) (Software Packages)
name007agentunderfire	007 - Agent Under Fire (Europe) (En,Fr,De,Es,Nl,Sv)
name007everythingornothing	007 - Everything or Nothing (Europe) (En,Es,It,Nl,Sv)
name007fromrussiawithlove	007 - From Russia with Love (Europe) (En,Fr,De,Es,It,Nl,Sv)
name007nagusamenohoushuu	007 - Nagusame no Houshuu (Japan)
name007nightfire	007 - Nightfire (Europe) (De,Es)
name007quantumofsolace	007 - Quantum of Solace (Europe, Australia) (En,Fr,De,Es,It)
name007russiayoriaiokomete	007 - Russia yori Ai o Komete (Japan)
name0story	0 Story (Japan) (Disc 1)
name10000bullets	10.000 Bullets (Europe) (En,Fr,De,Es,It)
name10mostwanted	10 Most Wanted (France) (En,Fr,De,Es,It)
name10pinchampionsalley	10 Pin - Champions Alley (Europe) (En,Fr,De,Es,It,Nl)
name10thanniversarymemorialsavedata	10th Anniversary Memorial Save Data (Japan) (Disc 2) (PlayStation 2 Taiou)
name120yennoharu120yenstories	120 Yen no Haru - 120 Yen Stories (Japan)
name12riventhepsicliminalofintegral	12Riven - The Psi-Climinal of Integral (Japan)
name187rideordie	187 - Ride or Die (Europe, Australia) (En,Fr,De,Es,It)
name18wheeleramericanprotrucker	18 Wheeler - American Pro Trucker (Europe) (En,Fr,De,Es)
name1945iii	1945 I & II (Europe) (En,Fr,De,Es,It)
name20002001winterlineup	2000-2001 Winter Lineup (Japan)
name2002fifaworldcup	2002 FIFA World Cup (Asia)
name2002natsunoosusumesoftotameshidisc	2002 Natsu no Osusume Soft Otameshi Disc (Japan)
name2003nenkaimakuganbarekyuukaiouiwayuruproyakyuudesune	2003-nen Kaimaku - Ganbare Kyuukai-ou - Iwayuru Pro Yakyuu desu ne (Japan)
name21cardgames	21 Card Games (Europe, Australia)
name24thegame	24 - The Game (Europe) (En,Fr,De,Es,It,Pl,Cs,Hu) (Beta)
name25tolife	25 to Life (Europe)
name3dkakutoutkool2	3D Kakutou Tkool 2 (Japan)
name3dmahjongjanpaitori	3D Mahjong + Janpai Tori (Japan)
name3ldkshiawaseninarouyo	3LDK - Shiawase ni Narou yo (Japan)
name3nenbgumikinpachisenseidensetsunokyoudannitate	3-nen B-gumi Kinpachi Sensei - Densetsu no Kyoudan ni Tate! (Japan)
