# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
0636361	Slam City with Scottie Pippen (USA, Brazil) (Disc 2) (Juice) (RE-1)
0636363	Slam City with Scottie Pippen (USA, Brazil) (Disc 4) (Smash)
42060	Prize Fighter (Europe) (Disc 1)
42061	Prize Fighter (Europe) (Disc 2)
428450	Starblade (Europe)
441106	Jurassic Park (Spain)
441109	Jurassic Park (France)
441118	Jurassic Park (Germany)
44200	Dracula Unleashed (Europe) (Disc 1)
44201	Dracula Unleashed (Europe) (Disc 2)
442906	Tomcat Alley (Spain)
442909	Tomcat Alley (France)
443250	Adventures of Batman and Robin, The (Europe)
443550	Surgical Strike (Europe)
443650	Dragon's Lair (Europe) (En,Fr,De,It)
44380	Fahrenheit (USA) (Disc 1) (Key Disc) (Sega CD)
443809	Fahrenheit (France)
44381	Fahrenheit (USA) (Disc 2) (32X CD)
443850	Fahrenheit (Europe)
443950	Midnight Raiders (Europe)
444150	Ecco - The Tides of Time (Europe) (En,Fr,De,Es)
444250	Mighty Morphin Power Rangers (Europe)
460850	Formula One World Championship - Beyond the Limit (Europe)
46530	Sherlock Holmes - Consulting Detective - Vol. II (Europe) (Disc 1)
46531	Sherlock Holmes - Consulting Detective - Vol. II (Europe) (Disc 2)
465550	Eye of the Beholder (Europe)
465650	Shining Force CD (Europe)
49030	Night Trap (Europe) (Disc 1)
490309	Night Trap (France) (Disc 1)
4903090	Night Trap (France) (Disc 1)
4903091	Night Trap (France) (Disc 2)
49031	Night Trap (Europe) (Disc 2)
670678350	Surgical Strike (Europe)
7250117	Pier Solar and the Great Architects - The Definitive Original Soundtrack (Europe) (Disc 4) (Enhanced Soundtrack Disc)
72501173	Pier Solar and the Great Architects - The Definitive Original Soundtrack (Europe) (Disc 4) (Enhanced Soundtrack Disc)
bvrr1	Sing!! Sega Game Music Presented by B. B. Queens (Japan)
cds135	WonderMega Collection (Japan) (Rev 2)
g6001	Wakusei Woodstock - Funky Horror Band (Japan)
g6002	Rise of the Dragon - A Blade Hunter Mystery (Japan)
g6003	Quiz Scramble Special (Japan) (Rev B)
g6004	Burai - Yatsudama no Yuushi Densetsu (Japan)
g6005	Dark Wizard - Yomigaerishi Yami no Madoushi (Japan)
g6006	Warau Salesman (Japan)
g6007	Seima Densetsu 3x3 Eyes (Japan, Korea)
g6008	SimEarth (Japan)
g6009	Switch (Japan)
g6010	Pro Yakyuu Super League CD (Japan)
g6011	Wing Commander (Japan)
g6012	Sega Classic Arcade Collection - Limited Edition (Japan)
g6013	Final Fight CD (Japan)
g6016	Ishii Hisaichi no Daiseikai (Japan)
g6017	Dynamic Country Club (Japan)
g6019	Egawa Suguru no Super League CD (Japan)
g6020	Mega Schwarzschild (Japan)
g6021	Sonic the Hedgehog CD (Japan)
g6024	Record of Lodoss War (Japan)
g6025	Night Trap (Japan) (Disc 1)
g60250	Night Trap (Japan) (Disc 1)
g60251	Night Trap (Japan) (Disc 2)
g6026	After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan)
g6027	Yumemi Yakata no Monogatari (Japan)
g6028	Arslan Senki (Japan)
g6029	PopfulMail (Japan)
g6031	AX-101 (Japan)
g6032	Game no Kandume Vol. 1 (Japan)
g6033	Game no Kandume Vol. 2 (Japan)
g6034	Heavenly Symphony - Formula One World Championship 1993 (Japan)
g6035	Dragon's Lair (Japan) (En,Ja,Fr,De,It)
g6036	Shining Force CD (Japan)
g6037	Prize Fighter (Japan) (Disc 1)
g60370	Prize Fighter (Japan) (Disc 1)
g60371	Prize Fighter (Japan) (Disc 2)
g6038	Jurassic Park (Japan)
g6039	Tomcat Alley (Japan)
g6040	Double Switch (Japan)
g6041	Ecco the Dolphin CD (Japan) (Disc 1) (Ecco the Dolphin)
g60410	Ecco the Dolphin CD (Japan) (Disc 1) (Ecco the Dolphin)
g60411	Ecco the Dolphin CD (Japan) (Disc 2) (Ecco the Dolphin II)
g6043	Fahrenheit (Japan)
g6044	Surgical Strike (Japan)
m20001	Fresh Cleaner (Japan)
mk42060	Prize Fighter (USA) (Disc 1)
mk42061	Prize Fighter (USA) (Disc 2)
mk442950	Tomcat Alley (Europe)
mk465250	Prince of Persia (Europe)
name3ninjaskickback	3 Ninjas Kick Back (USA)
nameadventuresofbatmanandrobinthe	Adventures of Batman and Robin, The (Europe)
nameadventuresofwillybeamishthe	Adventures of Willy Beamish, The (USA) (Alt)
nameafterarmageddongaidenmajuutoushoudeneclipse	After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan)
nameafterburneriii	After Burner III (Europe)
nameah3thunderstrike	AH3 - Thunderstrike (USA)
nameaislelord	Aisle Lord (Japan)
namealshark	Alshark (Japan)
nameamazingspidermanvsthekingpinthe	Amazing Spider-Man vs. The Kingpin, The (Europe)
nameandroidassaulttherevengeofbariarm	Android Assault - The Revenge of Bari-Arm (USA)
nameannettfutatabi	Annett Futatabi (Japan)
nameaokiookamitoshirokimejikagenchouhishi	Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)
namearankthundertanjouhen	A-Rank Thunder - Tanjou-hen (Japan)
namearcusiiiiii	Arcus I, II, III (Japan)
namearslansenki	Arslan Senki (Japan)
nameax101	A-X-101 (USA)
namebakudentheunbalancedzone	Bakuden - The Unbalanced Zone (Japan)
namebariarm	Bari-Arm (Japan)
namebatmanreturns	Batman Returns (Europe) (Alt)
namebattlecorps	Battlecorps (Europe) (En,Fr,De,Es)
namebattlefantasy	Battle Fantasy (Japan) (Rev A)
namebcracers	BC Racers (Europe) (En,Fr,De)
namebeastii	Beast II (Europe)
namebillwalshcollegefootball	Bill Walsh College Football (Europe)
nameblackholeassault	Black Hole Assault (Japan)
namebloodshot	Bloodshot (Europe) (En,Fr,De,Es)
namebouncers	Bouncers (USA)
namebramstokersdracula	Bram Stoker's Dracula (USA) (Alt 1)
namebrutalpawsoffury	Brutal - Paws of Fury (Europe) (En,Fr,De)
nameburaiyatsudamanoyuushidensetsu	Burai - Yatsudama no Yuushi Densetsu (Japan)
namecadillacsanddinosaursthesecondcataclysm	Cadillacs and Dinosaurs - The Second Cataclysm (USA, Brazil)
namecaptaintsubasa	Captain Tsubasa (Japan)
namechampionshipsoccer94	Championship Soccer '94 (USA) (En,Fr,De,It)
namechuckrock	Chuck Rock (Europe)
namechuckrockiisonofchuck	Chuck Rock II - Son of Chuck (Europe)
namecliffhanger	Cliffhanger (USA)
namecobracommand	Cobra Command (Europe)
namecolorsofmodernrockthe	Colors of Modern Rock, The (USA)
namecomptonsinteractiveencyclopedia	Compton's Interactive Encyclopedia (USA) (Version 2.01R)
namecorpsekiller	Corpse Killer (Europe)
namecosmicfantasystories	Cosmic Fantasy Stories (Japan)
namecrimepatrol	Crime Patrol (USA)
namecyborg009	Cyborg 009 (Japan)
namedaihoushinden	Daihoushinden (Japan)
namedarkwizard	Dark Wizard (USA)
namedarkwizardyomigaerishiyaminomadoushi	Dark Wizard - Yomigaerishi Yami no Madoushi (Japan)
namedeathbringer	Death Bringer (Japan)
namedemolitionman	Demolition Man (USA)
namedenninalestenobunagaandhisninjaforce	Dennin Aleste - Nobunaga and His Ninja Force (Japan)
namedetonatororgun	Detonator Orgun (Japan)
namedevastator	Devastator (Japan)
namedoubleswitch	Double Switch (Europe)
namedraculaunleashed	Dracula Unleashed (Europe) (Disc 1)
namedragonslair	Dragon's Lair (Europe) (En,Fr,De,It)
namedune	Dune (Europe) (En,Fr,De,Es,It)
namedungeonexplorer	Dungeon Explorer (Europe)
namedungeonmasteriiskullkeep	Dungeon Master II - Skullkeep (Europe)
namedynamiccountryclub	Dynamic Country Club (Japan)
nameearnestevans	Earnest Evans (Japan)
nameearthwormjimspecialedition	Earthworm Jim - Special Edition (Europe)
nameeccothedolphin	Ecco the Dolphin (Australia)
nameeccothedolphincd	Ecco the Dolphin CD (Japan) (Disc 1) (Ecco the Dolphin)
nameeccothetidesoftime	Ecco - The Tides of Time (Europe) (En,Fr,De,Es)
nameegawasugurunosuperleaguecd	Egawa Suguru no Super League CD (Japan)
nameespnbaseballtonight	ESPN Baseball Tonight (Europe)
nameespnnationalhockeynight	ESPN National Hockey Night (USA)
nameespnnbahangtime95	ESPN NBA Hangtime '95 (USA)
nameespnsundaynightnfl	ESPN Sunday Night NFL (USA)
nameeternalchampionschallengefromthedarkside	Eternal Champions - Challenge from the Dark Side (USA)
nameeyeofthebeholder	Eye of the Beholder (Europe)
namef1circuscd	F1 Circus CD (Japan)
namefahrenheit	Fahrenheit (Europe)
namefatalfuryspecial	Fatal Fury Special (Europe)
namefifainternationalsoccer	FIFA International Soccer (USA) (En,Fr,De,Es)
namefifainternationalsoccerchampionshipedition	FIFA International Soccer - Championship Edition (Europe) (En,Fr,De,Es)
namefinalfightcd	Final Fight CD (Europe)
nameflashbackthequestforidentity	Flashback - The Quest for Identity (USA)
nameflink	Flink (Europe) (En,Fr,De,Es,Nl)
nameformulaoneworldchampionshipbeyondthelimit	Formula One World Championship - Beyond the Limit (Europe)
namefreshcleaner	Fresh Cleaner (Japan)
namegamenokandumevol1	Game no Kandume Vol. 1 (Japan)
namegamenokandumevol2	Game no Kandume Vol. 2 (Japan)
namegaroudensetsuspecial	Garou Densetsu Special (Japan)
namegeneitoshiillusioncity	Gen'ei Toshi - Illusion City (Japan)
namegroundzerotexas	Ground Zero Texas (Europe) (Disc 1)
namegyuwamblerjikochuushinha2gekitoutokyomahjonglandhen	Gyuwambler Jiko Chuushinha 2 - Gekitou! Tokyo Mahjongland-hen (Japan)
nameheartofthealienoutofthisworldpartsiandii	Heart of the Alien - Out of This World Parts I and II (USA)
nameheavenlysymphonyformulaoneworldchampionship1993	Heavenly Symphony - Formula One World Championship 1993 (Japan)
nameheavynova	Heavy Nova (Japan)
nameheimdall	Heimdall (Japan)
namehook	Hook (Europe)
nameiiirdworldwarthe	IIIrd World War, The (Japan)
nameironhelix	Iron Helix (USA)
nameishiihisaichinodaiseikai	Ishii Hisaichi no Daiseikai (Japan)
namejaguarxj220	Jaguar XJ220 (Europe) (En,Ja)
namejangouworldcup	Jangou World Cup (Japan)
namejeopardy	Jeopardy! (USA)
namejoemontanasnflfootball	Joe Montana's NFL Football (USA)
namejurassicpark	Jurassic Park (Europe)
namekamenriderzo	Kamen Rider ZO (Japan)
namekeioflyingsquadron	Keio Flying Squadron (Europe)
namekeiouyuugekitai	Keiou Yuugekitai (Japan)
namekidsonsite	Kids on Site (Europe) (RE-1)
namelawnmowermanthe	Lawnmower Man, The (USA)
namelethalenforcers	Lethal Enforcers (Europe)
namelethalenforcersiigunfighters	Lethal Enforcers II - Gun Fighters (Europe)
namelethalenforcersiithewestern	Lethal Enforcers II - The Western (Japan)
namelinksthechallengeofgolf	Links - The Challenge of Golf (USA)
nameloadstarthelegendoftullybodine	Loadstar - The Legend of Tully Bodine (USA, Brazil)
namelordsofthunder	Lords of Thunder (Europe)
namelunareternalblue	Lunar - Eternal Blue (Japan)
namelunarthesilverstar	Lunar - The Silver Star (Japan)
namemaddogiithelostgold	Mad Dog II - The Lost Gold (USA)
namemaddogmccree	Mad Dog McCree (USA)
namemahounoshoujosilkylip	Mahou no Shoujo - Silky Lip (Japan)
namemakemyvideoinxs	Make My Video - INXS (Europe)
namemakemyvideokriskross	Make My Video - Kris Kross (Europe)
namemakemyvideomarkymarkandthefunkybunch	Make My Video - Marky Mark and the Funky Bunch (USA)
namemansionofhiddensouls	Mansion of Hidden Souls (USA)
namemarkosmagicfootball	Marko's Magic Football (Europe) (En,Fr,De,Es)
namemaryshelleysfrankenstein	Mary Shelley's Frankenstein (USA)
namemaskedriderthekamenriderzo	Masked Rider, The - Kamen Rider ZO (USA)
namemegarace	MegaRace (USA)
namemegaschwarzschild	Mega Schwarzschild (Japan)
namemickeymania	Mickey Mania (Europe)
namemickeymaniathetimelessadventuresofmickeymouse	Mickey Mania - The Timeless Adventures of Mickey Mouse (USA)
namemicrocosm	Microcosm (Europe)
namemidnightraiders	Midnight Raiders (Europe)
namemightandmagiciiiislesofterra	Might and Magic III - Isles of Terra (Japan)
namemightymorphinpowerrangers	Mighty Morphin Power Rangers (Europe)
namemortalkombat	Mortal Kombat (Europe)
namemortalkombatkanzenban	Mortal Kombat Kanzenban (Japan)
namemypaint	My Paint (USA)
namenbajam	NBA Jam (Europe)
namenflfootballtriviachallenge	NFL Football Trivia Challenge (USA)
namenflsgreatestsanfranciscovsdallas19781993	NFL's Greatest - San Francisco vs. Dallas 1978-1993 (USA)
namenhl94	NHL '94 (USA)
namenhlhockey94	NHL Hockey '94 (Europe)
namenightstriker	Night Striker (Japan, Korea)
namenighttrap	Night Trap (Europe) (Disc 1)
nameninjawarriorsthe	Ninja Warriors, The (Japan)
namenobunaganoyabouhaouden	Nobunaga no Yabou - Haouden (Japan)
namenostalgia1907innorthatlanticsea	Nostalgia 1907 - In North Atlantic Sea (Japan)
namenovastorm	Novastorm (Europe)
namepanic	Panic! (USA)
namepiersolarandthegreatarchitectsenhancedsoundtrackdisc	Pier Solar and the Great Architects Enhanced Soundtrack Disc (USA)
namepiersolarandthegreatarchitectsthedefinitiveoriginalsoundtrack	Pier Solar and the Great Architects - The Definitive Original Soundtrack (Europe) (Disc 4) (Enhanced Soundtrack Disc)
namepitfallthemayanadventure	Pitfall - The Mayan Adventure (Europe)
namepopfulmail	Popful Mail (USA)
namepowerfactory	Power Factory (Europe)
namepowermonger	Power Monger (USA)
nameprinceofpersia	Prince of Persia (Europe)
nameprizefighter	Prize Fighter (Europe) (Disc 1)
nameproyakyuusuperleaguecd	Pro Yakyuu Super League CD (Japan)
namepsychicdetectiveseriesvol3aya	Psychic Detective Series Vol. 3 - Aya (Japan)
namepsychicdetectiveseriesvol4orgel	Psychic Detective Series Vol. 4 - Orgel (Japan)
namepuggsy	Puggsy (Europe)
namequizscramblespecial	Quiz Scramble Special (Japan) (Rev B)
namequiztonosamanoyabou	Quiz Tonosama no Yabou (Japan)
nameracingaces	Racing Aces (USA)
nameradicalrex	Radical Rex (USA)
nameranma12byakuranaika	Ranma 1-2 - Byakuranaika (Japan)
namerdfglobalconflict	RDF - Global Conflict (USA)
namerecordoflodosswar	Record of Lodoss War (Japan)
namerevengeoftheninja	Revenge of the Ninja (USA)
namerevengersofvengeance	Revengers of Vengeance (USA)
nameriseofthedragon	Rise of the Dragon (USA)
nameriseofthedragonabladehuntermystery	Rise of the Dragon - A Blade Hunter Mystery (Japan)
nameroadavenger	Road Avenger (Europe)
nameroadblasterfx	Road Blaster FX (Japan)
nameroadrash	Road Rash (USA)
nameroboaleste	Robo Aleste (Europe)
namesamuraishodown	Samurai Shodown (Europe)
namesandiegozoopresentstheanimalsthe	San Diego Zoo Presents... The Animals!, The (Europe)
namesangokushiiii	Sangokushi III (Japan)
namesecretofmonkeyislandthe	Secret of Monkey Island, The (Japan)
namesegaclassicarcadecollectionlimitededition	Sega Classic Arcade Collection - Limited Edition (Japan)
namesegaclassicsarcadecollection	Sega Classics Arcade Collection (USA) (4-in-1)
namesegaclassicsarcadecollectionlimitededition	Sega Classics Arcade Collection - Limited Edition (Europe) (Rev A) (Alt)
nameseimadensetsu3x3eyes	Seima Densetsu 3x3 Eyes (Japan, Korea)
nameseireishinseikifheyarea	Seirei Shinseiki - Fhey Area (Japan)
namesengokudenshou	Sengoku Denshou (Japan)
namesensiblesoccer	Sensible Soccer (Europe) (En,Fr,De,It)
namesewershark	Sewer Shark (Europe)
nameshadowofthebeastii	Shadow of the Beast II (USA)
nameshadowofthebeastiijuushinnojubaku	Shadow of the Beast II - Juushin no Jubaku (Japan)
nameshadowrun	Shadowrun (Japan)
namesherlockholmesconsultingdetective	Sherlock Holmes - Consulting Detective (Europe)
namesherlockholmesconsultingdetectivevolii	Sherlock Holmes - Consulting Detective - Vol. II (Europe) (Disc 1)
nameshiningforcecd	Shining Force CD (Europe)
nameshinmegamitensei	Shin Megami Tensei (Japan)
namesilpheed	Silpheed (Europe)
namesimearth	SimEarth (Japan)
namesingsegagamemusicpresentedbybbqueens	Sing!! Sega Game Music Presented by B. B. Queens (Japan)
nameslamcitywithscottiepippen	Slam City with Scottie Pippen (Europe) (Disc 1) (Fingers)
namesmurfsthe	Smurfs, The (Europe) (En,Fr,De,Es,It)
namesnatcher	Snatcher (Europe)
namesoftwaretoolworksstarwarschessthe	Software Toolworks' Star Wars Chess, The (Europe)
namesolfeace	Sol-Feace (Europe) (Alt)
namesoniccd	Sonic CD (Europe)
namesonicthehedgehogcd	Sonic the Hedgehog CD (Japan)
namesoulstar	SoulStar (Europe) (En,Fr,De)
namespaceace	Space Ace (USA)
namespaceadventurethecobrathelegendarybandit	Space Adventure, The - Cobra - The Legendary Bandit (Europe)
namestarblade	Starblade (Europe)
namestarwarsrebelassault	Star Wars - Rebel Assault (Europe)
namestellarfire	Stellar-Fire (USA)
namesupremewarrior	Supreme Warrior (Europe) (Disc 1)
namesurgicalstrike	Surgical Strike (Brazil) (Sega CD 32X)
nameswitch	Switch (Japan)
namesyndicate	Syndicate (Europe) (En,Fr,De)
nametenbumegacdspecial	Tenbu Mega CD Special (Japan)
nametenkafubueiyuutachinohoukou	Tenkafubu - Eiyuutachi no Houkou (Japan)
nameterminatorthe	Terminator, The (Europe)
namethemepark	Theme Park (Europe) (En,Fr,De,Es)
namethirdworldwar	Third World War (USA)
namethunderhawk	Thunderhawk (Europe) (En,Fr,De,Es)
namethunderstormfx	Thunder Storm FX (Japan)
nametimegal	Time Gal (Europe)
nametomcatalley	Tomcat Alley (Australia)
nametrivialpursuit	Trivial Pursuit (USA)
nameultraverseprime	Ultraverse Prime (USA)
nameuruseiyatsuradearmyfriends	Urusei Yatsura - Dear My Friends (Japan)
namevay	Vay (USA)
namevayryuuseinoyoroi	Vay - Ryuusei no Yoroi (Japan)
namewakuseiwoodstockfunkyhorrorband	Wakusei Woodstock - Funky Horror Band (Japan)
namewarausalesman	Warau Salesman (Japan)
namewhatisxeyemultientertainmentsystem	What Is X'Eye Multi Entertainment System (USA)
namewheeloffortune	Wheel of Fortune (USA)
namewhoshotjohnnyrock	Who Shot Johnny Rock (USA)
namewildwoody	Wild Woody (USA)
namewingcommander	Wing Commander (Japan)
namewinningpost	Winning Post (Japan)
namewirehead	WireHead (USA)
namewolfchild	Wolfchild (Europe)
namewonderdog	Wonder Dog (Europe)
namewondermegacollection	WonderMega Collection (Japan) (Rev 2)
nameworldcupusa94	World Cup USA '94 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)
