# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
007e	Auto Erase Disc (USA)
091e	Movie-Ch Install Disc Ver. A (USA) (En,Fr,Es)
410e	Wii Back Up Disc Ver. 1.31 (USA)
413e	DiscUpdate Disc (WiiMenu 3.0U) (USA)
d2aj	Minna de Bouken! Family Trainer (Japan) (Taikenban)
dchj	Oha Suta Produce! Gentei Collabo Game Disc!! (Japan)
dfnj	Wii Fit (Japan) (Taikenban)
dhhj	Hirano Aya Premium Movie Disc from Suzumiya Haruhi no Gekidou (Japan)
dk6j	Kororinpa 2 - Anthony to Kin'iro Himawari no Tane (Japan) (Otameshiban)
dmhj	Monster Hunter 3 tri- (Japan) (Taikenban)
dqaj	Aquarius Baseball - Genkai no, Sono Saki e. (Japan)
dsrj	Sonic to Himitsu no Ring (Japan) (Taikenban)
dtoj	428 - Fuusa Sareta Shibuya de (Japan) (Taikenban)
dtzj	Takarajima Z - Barbaros no Hihou (Japan) (Taikenban)
dwej	Winning Eleven Play Maker 2008 (Japan) (Taikenban)
name007nagusamenohoushuu	007 - Nagusame no Houshuu (Japan)
name007quantumofsolace	007 - Quantum of Solace (Europe) (En,Fr,De,Es,It)
name1000000pyramidthe	$1,000,000 Pyramid, The (USA)
name101in1partymegamix	101-in-1 Party Megamix (USA) (En,Fr,Es)
name101in1partymegamixwii	101-in-1 Party Megamix Wii (Europe) (En,Fr,De,Es,It,Nl)
name101in1sportspartymegamix	101-in-1 Sports Party Megamix (Europe) (En,Fr,De,Es,It,Nl)
name10minutesolution	10 Minute Solution (Europe) (En,Fr,De,Es,It)
name2010fifaworldcupminamiafricataikai	2010 FIFA World Cup - Minami Africa Taikai (Japan)
name2010fifaworldcupsouthafrica	2010 FIFA World Cup South Africa (Canada) (En,Fr)
name2in1meinetierpensionmeinetiersprechstunde	2 in 1 - Meine Tierpension + Meine Tiersprechstunde (Germany)
name2in1ponyfriends2myridingstableslifewithhorses	2 in 1 - Pony Friends 2 + My Riding Stables - Life with Horses (Europe) (En,Fr,De,Es,It)
name40principalesloskaraokeparty	40 Principales, Los - Karaoke Party (Spain) (En,Es)
name40principalesloskaraokepartyvol2	40 Principales, Los - Karaoke Party Vol. 2 (Spain) (En,Es)
name428fuusasaretashibuyade	428 - Fuusa Sareta Shibuya de (Japan)
nameabbayoucandance	ABBA - You Can Dance (Europe) (En,Fr,De,Es,It,Sv,No,Da,Ro)
nameabcwipeout2	ABC Wipeout 2 (USA)
nameabcwipeout3	ABC Wipeout 3 (USA)
nameabcwipeoutcreatecrash	ABC Wipeout - Create & Crash (USA)
nameabcwipeoutthegame	ABC Wipeout - The Game (USA)
nameacademyofchampionsfootball	Academy of Champions - Football (Europe) (En,Fr,De,Es,It,Nl)
nameacademyofchampionssoccer	Academy of Champions - Soccer (USA) (En,Fr,Es)
nameacbtotal20102011	ACB Total 2010-2011 (Spain)
nameacdcliverockband	AC-DC Live - Rock Band (Europe) (En,Fr,De,Es,It)
nameacdcliverockbandtrackpack	AC-DC Live - Rock Band Track Pack (USA)
nameactiongirlzracing	Action Girlz Racing (UK)
nameactivelifeexplorer	Active Life - Explorer (USA) (En,Fr,Es)
nameactivelifeextremechallenge	Active Life - Extreme Challenge (USA)
nameactivelifemagicalcarnival	Active Life - Magical Carnival (USA) (En,Fr,Es)
nameactivelifeoutdoorchallenge	Active Life - Outdoor Challenge (USA) (En,Fr)
nameactivisiondemoactionpack	Activision Demo Action Pack (USA)
nameadibouetlessaisonsmagiques	Adibou et les Saisons Magiques (Europe) (Fr,De)
nameadventuresoftintinthethegame	Adventures of Tintin, The - The Game (USA) (En,Fr,Es,Pt)
nameadventuresoftintinthethesecretoftheunicorn	Adventures of Tintin, The - The Secret of the Unicorn (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)
nameafl	AFL (Australia)
nameaflgameoftheyearedition	AFL - Game of the Year Edition (Australia)
nameagathachristieandthentherewerenone	Agatha Christie - And Then There Were None (Europe) (En,Fr,De,Es,It)
nameagathachristieevilunderthesun	Agatha Christie - Evil Under the Sun (Europe) (En,Fr,De,Es,It)
nameagenthugohulaholiday	Agent Hugo - Hula Holiday (Europe) (En,Fr,De,Es,It,Nl,Pt)
nameagenthugolemoontwist	Agent Hugo - Lemoon Twist (Europe) (En,Fr,De,Es,It,Nl,Pt)
nameakkodeponikasamahourouki	Akko de Pon! Ikasama Hourou-ki (Japan)
nameakumajoudraculajudgment	Akumajou Dracula Judgment (Japan)
namealaddinmagicracer	Aladdin Magic Racer (USA)
namealadinmagicracer	Aladin Magic Racer (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da)
namealanhansenssportschallenge	Alan Hansen's Sports Challenge (Europe) (En,Fr,De,Es,It)
namealienmonsterbowlingleague	Alien Monster Bowling League (Europe) (En,Fr,De,Es,It)
namealiensintheattic	Aliens in the Attic (Europe) (En,Fr,De,Es,It)
namealiensyndrome	Alien Syndrome (Europe) (En,Fr,De,Es,It)
nameallroundhunter	All Round Hunter (Europe) (En,Fr,De,Es,It)
nameallstarcheerleader	All Star Cheerleader (Europe, Australia) (En,Fr,De,Es)
nameallstarcheerleader2	All Star Cheerleader 2 (Europe, Australia)
nameallstarcheersquad	All Star Cheer Squad (USA)
nameallstarcheersquad2	All Star Cheer Squad 2 (USA)
nameallstarkarate	All Star Karate (Europe) (En,Fr,De,Es,It,Nl)
namealoneinthedark	Alone in the Dark (Europe) (En,Fr,De,Es,It)
namealvinandthechipmunks	Alvin and the Chipmunks (Europe) (En,Fr,De,Es,It)
namealvinandthechipmunkschipwrecked	Alvin and the Chipmunks - Chipwrecked (Europe)
namealvinandthechipmunksthesqueakquel	Alvin and the Chipmunks - The Squeakquel (Europe) (En,Fr,De)
nameamazingracethe	Amazing Race, The (USA) (En,Fr)
nameamazingspidermanthe	Amazing Spider-Man, The (Europe) (En,Fr,De,Es,It)
nameamericanmensaacademy	American Mensa Academy (USA)
nameamericasnexttopmodel	America's Next Top Model (Europe) (En,De)
nameamfbowlingpinbusters	AMF Bowling - Pinbusters! (Europe) (En,Fr,De,Es,It)
nameamfbowlingworldlanes	AMF Bowling World Lanes (Europe) (En,Fr,De,Es,It)
nameandkensaku	And-Kensaku (Japan)
nameandrewlloydwebbermusicalssinganddance	Andrew Lloyd Webber Musicals - Sing and Dance (Europe)
nameangrybirdsstarwars	Angry Birds Star Wars (Europe) (En,Fr,De,Es,It)
nameangrybirdstrilogy	Angry Birds Trilogy (Europe) (En,Fr,De,Es,It)
nameanimalcrossingcityfolk	Animal Crossing - City Folk (USA) (En,Fr,Es)
nameanimalcrossingletsgotothecity	Animal Crossing - Let's Go to the City (Europe) (En,Fr,De,Es,It)
nameanimalkingdomwildlifeexpedition	Animal Kingdom - Wildlife Expedition (USA)
